GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC04_EST_VC16,HC04_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Total - Less than $10,000","Households; Margin of Error; Total - Less than $10,000","Families; Estimate; Total - Less than $10,000","Families; Margin of Error; Total - Less than $10,000","Married-couple families; Estimate; Total - Less than $10,000","Married-couple families; Margin of Error; Total - Less than $10,000","Nonfamily households; Estimate; Total - Less than $10,000","Nonfamily households; Margin of Error; Total - Less than $10,000","Households; Estimate; Total - $10,000 to $14,999","Households; Margin of Error; Total - $10,000 to $14,999","Families; Estimate; Total - $10,000 to $14,999","Families; Margin of Error; Total - $10,000 to $14,999","Married-couple families; Estimate; Total - $10,000 to $14,999","Married-couple families; Margin of Error; Total - $10,000 to $14,999","Nonfamily households; Estimate; Total - $10,000 to $14,999","Nonfamily households; Margin of Error; Total - $10,000 to $14,999","Households; Estimate; Total - $15,000 to $24,999","Households; Margin of Error; Total - $15,000 to $24,999","Families; Estimate; Total - $15,000 to $24,999","Families; Margin of Error; Total - $15,000 to $24,999","Married-couple families; Estimate; Total - $15,000 to $24,999","Married-couple families; Margin of Error; Total - $15,000 to $24,999","Nonfamily households; Estimate; Total - $15,000 to $24,999","Nonfamily households; Margin of Error; Total - $15,000 to $24,999","Households; Estimate; Total - $25,000 to $34,999","Households; Margin of Error; Total - $25,000 to $34,999","Families; Estimate; Total - $25,000 to $34,999","Families; Margin of Error; Total - $25,000 to $34,999","Married-couple families; Estimate; Total - $25,000 to $34,999","Married-couple families; Margin of Error; Total - $25,000 to $34,999","Nonfamily households; Estimate; Total - $25,000 to $34,999","Nonfamily households; Margin of Error; Total - $25,000 to $34,999","Households; Estimate; Total - $35,000 to $49,999","Households; Margin of Error; Total - $35,000 to $49,999","Families; Estimate; Total - $35,000 to $49,999","Families; Margin of Error; Total - $35,000 to $49,999","Married-couple families; Estimate; Total - $35,000 to $49,999","Married-couple families; Margin of Error; Total - $35,000 to $49,999","Nonfamily households; Estimate; Total - $35,000 to $49,999","Nonfamily households; Margin of Error; Total - $35,000 to $49,999","Households; Estimate; Total - $50,000 to $74,999","Households; Margin of Error; Total - $50,000 to $74,999","Families; Estimate; Total - $50,000 to $74,999","Families; Margin of Error; Total - $50,000 to $74,999","Married-couple families; Estimate; Total - $50,000 to $74,999","Married-couple families; Margin of Error; Total - $50,000 to $74,999","Nonfamily households; Estimate; Total - $50,000 to $74,999","Nonfamily households; Margin of Error; Total - $50,000 to $74,999","Households; Estimate; Total - $75,000 to $99,999","Households; Margin of Error; Total - $75,000 to $99,999","Families; Estimate; Total - $75,000 to $99,999","Families; Margin of Error; Total - $75,000 to $99,999","Married-couple families; Estimate; Total - $75,000 to $99,999","Married-couple families; Margin of Error; Total - $75,000 to $99,999","Nonfamily households; Estimate; Total - $75,000 to $99,999","Nonfamily households; Margin of Error; Total - $75,000 to $99,999","Households; Estimate; Total - $100,000 to $149,999","Households; Margin of Error; Total - $100,000 to $149,999","Families; Estimate; Total - $100,000 to $149,999","Families; Margin of Error; Total - $100,000 to $149,999","Married-couple families; Estimate; Total - $100,000 to $149,999","Married-couple families; Margin of Error; Total - $100,000 to $149,999","Nonfamily households; Estimate; Total - $100,000 to $149,999","Nonfamily households; Margin of Error; Total - $100,000 to $149,999","Households; Estimate; Total - $150,000 to $199,999","Households; Margin of Error; Total - $150,000 to $199,999","Families; Estimate; Total - $150,000 to $199,999","Families; Margin of Error; Total - $150,000 to $199,999","Married-couple families; Estimate; Total - $150,000 to $199,999","Married-couple families; Margin of Error; Total - $150,000 to $199,999","Nonfamily households; Estimate; Total - $150,000 to $199,999","Nonfamily households; Margin of Error; Total - $150,000 to $199,999","Households; Estimate; Total - $200,000 or more","Households; Margin of Error; Total - $200,000 or more","Families; Estimate; Total - $200,000 or more","Families; Margin of Error; Total - $200,000 or more","Married-couple families; Estimate; Total - $200,000 or more","Married-couple families; Margin of Error; Total - $200,000 or more","Nonfamily households; Estimate; Total - $200,000 or more","Nonfamily households; Margin of Error; Total - $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
1600000US0107000,0107000,"Birmingham city, Alabama",88481,3290,49414,2968,24494,2591,39067,2683,16.0,1.8,9.4,2.1,1.7,1.3,24.6,3.0,7.6,1.4,4.8,1.8,1.0,0.9,11.5,2.3,18.6,2.2,19.0,2.8,11.7,2.8,20.0,3.6,11.7,1.7,12.1,2.3,10.7,2.4,11.3,2.6,16.8,2.3,16.5,2.9,19.1,4.2,15.6,3.1,15.3,2.0,18.6,3.0,23.3,4.4,10.1,2.5,7.3,1.4,10.5,2.4,15.7,3.6,3.2,1.4,3.8,0.8,5.2,1.3,9.7,2.5,2.0,0.9,1.1,0.6,1.5,0.8,2.3,1.2,0.6,0.5,1.8,0.6,2.4,1.0,4.8,2.0,1.1,0.7,31359,2479,38594,3312,53816,5770,21311,2218,45033,3316,52287,3843,73108,6819,34871,5197,24.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),18.2,(X)
1600000US0121184,0121184,"Dothan city, Alabama",24284,1032,16220,981,11718,791,8064,835,11.0,1.8,7.5,2.1,1.4,0.8,19.7,3.1,7.1,1.2,4.8,1.2,1.5,0.8,11.0,2.8,14.4,2.1,10.8,2.3,7.0,2.6,23.1,4.0,12.5,1.8,10.7,1.8,9.5,2.4,14.4,3.6,13.5,1.7,12.8,1.9,13.1,2.5,14.5,3.7,15.8,2.2,17.5,2.6,20.8,3.3,12.4,3.7,9.9,1.8,13.8,2.5,18.3,3.2,1.4,0.8,11.0,1.6,15.7,2.4,19.8,3.2,1.5,1.0,2.2,0.6,2.7,0.8,3.7,1.1,1.0,1.1,2.7,0.8,3.6,1.1,5.0,1.6,1.0,0.7,40687,3203,53971,3796,70074,5438,23033,2271,57383,2973,69282,4151,84349,5192,32238,2928,24.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.3,(X)
1600000US0135896,0135896,"Hoover city, Alabama",29878,1901,20140,1627,N,N,9738,1394,4.5,2.2,3.6,2.8,N,N,8.9,5.1,1.5,1.1,0.3,0.5,N,N,4.1,3.1,4.7,1.9,2.7,2.1,N,N,11.2,4.9,8.1,2.6,4.1,2.1,N,N,17.0,6.4,13.5,3.4,11.0,3.9,N,N,17.6,7.1,17.5,3.5,17.0,4.5,N,N,14.1,4.8,14.7,3.4,16.9,4.1,N,N,10.2,5.6,20.7,3.5,24.3,4.9,N,N,13.4,5.2,7.1,1.8,9.7,2.6,N,N,1.9,2.1,7.6,2.1,10.4,2.8,N,N,1.9,1.9,75365,8843,89513,7121,106178,6782,42012,5861,96889,8663,115452,11990,N,N,55955,6333,18.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),19.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),16.6,(X)
1600000US0137000,0137000,"Huntsville city, Alabama",68403,2371,41453,1817,27643,1670,26950,2420,8.7,1.8,6.8,2.1,0.9,0.7,12.9,3.3,7.8,1.8,4.6,2.1,0.8,0.6,12.9,3.2,12.3,1.9,9.7,2.4,4.5,1.8,15.6,3.2,11.2,2.0,6.9,1.7,6.1,2.1,17.4,4.0,15.2,2.1,15.0,2.7,12.4,2.8,16.5,3.8,15.8,2.1,16.8,2.7,19.2,3.4,13.0,3.1,9.9,1.5,13.6,2.3,18.5,3.3,4.1,1.4,11.0,1.6,15.6,2.3,22.4,3.4,4.1,1.8,5.0,1.2,6.7,1.7,8.8,2.3,2.2,1.8,3.2,0.9,4.4,1.4,6.3,1.9,1.3,0.9,44534,3114,58325,4018,83562,5980,28271,2781,63323,3675,77648,5629,96925,4714,40302,3629,28.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.3,(X)
1600000US0150000,0150000,"Mobile city, Alabama",73787,2335,47820,2542,27252,2270,25967,2174,13.4,2.0,10.4,2.1,1.1,0.9,19.8,4.1,8.7,1.5,6.0,1.7,2.2,1.2,13.9,3.0,12.3,1.9,11.5,2.3,6.9,2.3,15.3,3.2,15.5,2.6,14.4,2.9,13.2,3.4,17.7,4.4,13.2,1.9,12.8,2.4,15.3,3.7,13.0,2.5,17.5,2.2,19.7,2.7,22.3,3.2,12.6,3.7,9.7,1.6,11.6,2.0,16.7,3.1,5.0,2.2,5.5,1.3,7.8,1.9,12.3,3.2,1.4,0.8,1.6,0.7,2.0,0.9,3.6,1.5,0.8,0.8,2.6,0.7,3.8,1.1,6.6,1.9,0.4,0.4,35093,2728,42942,4236,64852,4246,25372,2608,52391,3353,62259,5008,86251,9215,32527,2929,20.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),16.6,(X)
1600000US0151000,0151000,"Montgomery city, Alabama",80391,2037,50456,2517,29950,2454,29935,2164,9.6,1.5,6.2,1.8,0.9,1.0,17.2,3.4,9.0,1.6,6.2,1.7,2.9,1.6,12.9,2.9,12.2,1.9,12.5,2.5,5.5,2.0,12.9,2.8,11.7,2.1,11.2,2.5,6.9,2.8,12.1,2.9,15.4,2.3,13.7,3.1,12.8,3.3,19.0,4.5,16.7,2.3,16.2,2.9,19.0,3.8,17.1,3.7,12.3,1.7,16.3,2.4,23.8,3.7,4.3,2.0,7.7,1.4,9.9,1.7,16.0,2.5,3.0,1.7,2.4,0.7,3.3,1.0,4.5,1.5,1.0,0.7,3.0,0.8,4.5,1.3,7.6,2.1,0.4,0.5,39997,2280,50452,6062,76080,2620,31213,4306,59553,3881,72254,5717,99029,8638,36312,3118,30.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.0,(X)
1600000US0177256,0177256,"Tuscaloosa city, Alabama",32847,1607,16523,1211,N,N,16324,1670,18.9,3.8,9.0,4.0,N,N,30.4,6.0,11.6,3.1,6.4,3.7,N,N,16.9,5.0,13.4,3.3,14.3,4.8,N,N,13.4,4.9,10.5,2.9,9.3,3.7,N,N,11.1,4.5,15.4,3.5,15.6,4.9,N,N,14.4,4.9,12.0,2.8,14.9,3.8,N,N,8.3,3.4,8.0,2.2,12.6,3.6,N,N,2.9,2.0,6.0,1.8,10.6,3.2,N,N,1.3,1.7,1.4,0.9,2.5,1.6,N,N,0.3,0.5,2.8,1.0,4.8,1.9,N,N,0.8,0.8,30616,4466,45371,4351,71870,8798,16967,6010,48643,4846,68079,8813,N,N,28118,3818,33.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.2,(X)
1600000US0203000,0203000,"Anchorage municipality, Alaska",102942,1646,71495,2672,54315,2729,31447,2419,2.9,0.9,2.2,0.9,0.5,0.4,5.8,2.0,3.8,0.9,2.9,1.0,0.7,0.6,7.6,2.3,7.0,1.4,4.2,1.2,2.5,1.1,14.0,3.8,7.8,1.5,6.6,1.5,3.9,1.3,12.5,3.1,12.6,1.9,10.9,1.9,8.7,2.1,13.9,3.2,19.8,2.1,19.4,2.4,17.5,2.8,21.9,4.2,16.6,1.7,16.8,2.0,19.9,2.4,13.9,3.5,17.7,1.8,22.0,2.4,27.1,3.1,7.4,2.4,6.7,1.2,8.4,1.5,10.8,1.9,2.1,1.3,5.0,0.9,6.6,1.2,8.6,1.6,1.0,0.7,68726,3329,80325,4056,94956,3963,45392,4676,85831,4382,97904,5897,114055,6823,54259,3305,18.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),18.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),16.2,(X)
1600000US0404720,0404720,"Avondale city, Arizona",19367,1542,14797,1548,N,N,4570,1219,3.3,2.2,4.4,2.7,N,N,3.3,3.1,4.8,2.7,2.7,2.5,N,N,14.0,9.2,9.3,3.2,7.7,3.9,N,N,15.3,7.6,11.2,3.4,8.3,3.4,N,N,14.7,9.4,10.4,3.7,12.9,4.4,N,N,7.5,5.2,24.7,5.5,24.8,6.2,N,N,25.5,11.3,16.0,4.2,17.7,4.8,N,N,12.1,6.7,15.6,4.5,16.1,5.2,N,N,4.9,4.7,4.0,2.5,4.4,3.2,N,N,2.7,2.5,0.7,0.9,1.0,1.1,N,N,0.0,4.2,58866,3942,59733,6794,76234,8980,36698,19971,66335,4903,69418,5914,N,N,48606,8048,25.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.0,(X)
