GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
1600000US0107000,0107000,"Birmingham city, Alabama",206215,8340,48149,5178,154492,6366,1164,851,1138,537,0,267,706,827,566,370,18,30,548,367
1600000US0121184,0121184,"Dothan city, Alabama",62837,2684,41650,2350,19197,1062,352,121,615,169,0,267,461,275,562,279,53,79,509,272
1600000US0135896,0135896,"Hoover city, Alabama",72625,6572,60518,5791,6521,2385,0,267,3980,1523,0,267,487,488,1119,598,0,267,1119,598
1600000US0137000,0137000,"Huntsville city, Alabama",167121,5428,107073,5158,50706,3659,292,175,4235,827,0,267,1231,887,3584,1379,162,183,3422,1356
1600000US0150000,0150000,"Mobile city, Alabama",189476,6735,88160,5055,94535,4553,61,99,3712,931,0,267,977,608,2031,960,45,84,1986,957
1600000US0151000,0151000,"Montgomery city, Alabama",200834,3084,82787,2422,112225,2453,182,233,2852,417,70,120,579,648,2139,854,201,250,1938,800
1600000US0177256,0177256,"Tuscaloosa city, Alabama",77430,4191,40934,2593,33961,3603,51,83,1969,525,0,267,0,267,515,365,258,264,257,229
1600000US0203000,0203000,"Anchorage municipality, Alaska",279671,*****,193075,2076,17642,1622,16053,1966,17293,1280,3087,462,9613,2418,22908,2884,708,464,22200,2790
1600000US0404720,0404720,"Avondale city, Arizona",68793,7677,46770,6554,4135,1867,703,793,3343,2301,0,292,10909,3101,2933,1747,357,332,2576,1753
1600000US0412000,0412000,"Chandler city, Arizona",227940,12177,177835,11308,10371,3309,3460,1753,17292,3813,970,534,11124,2875,6888,1855,2144,790,4744,1769
